channelName,classification,ownership
H2+,Specialty,Shaw Media
HGTV+,Specialty,Shaw Media
History+,Specialty,Shaw Media
IFC+,Specialty,Shaw Media
Lifetime+,Specialty,Shaw Media
MovieTime+,Specialty,Shaw Media
Mystery+,Specialty,Shaw Media
National Geographic+,Specialty,Shaw Media
Showcase+,Specialty,Shaw Media
Slice+,Specialty,Shaw Media
Tvtropolis+,Specialty,Shaw Media
GSN,US Specialty,Sony Pictures Television
Madison Square Gardens,US Specialty,The Madison Square Garden Company
Cartoon Net US,US Specialty,Time Warner
CineMax,US Specialty,Time Warner
CNN International,US Specialty,Time Warner
CNN+,US Specialty,Time Warner
Headline News,US Specialty,Time Warner
Peachtree TV+,US Conventional,Time Warner
tru TV,US Specialty,Time Warner
Turner Classic Movies,US Specialty,Time Warner
Turner Network,US Specialty,Time Warner
Trinity,US Specialty,Trinity Broadcastiong Network
Univision,US Specialty,Univision Communications
Encore US,US Specialty,Starz
Entertainment TV,US Specialty,NBC Universal
Eternal Word,US Specialty,Eternal Word Television Network
GALAVISION,US Specialty,Univision Communications
HDNet,US Specialty,HDNet Inc.
Health,US Specialty,n/a
MuchMusic US,US Specialty,n/a
All News Channel,US Specialty,Viacom Media Networks
BET,US Specialty,Viacom Media Networks
Comedy Central,US Specialty,Viacom Media Networks
Country Music US,US Specialty,Viacom Media Networks
Music TV,US Specialty,Viacom Media Networks
Nickelodeon US,US Specialty,Viacom Media Networks
Noggin - Educ US,US Specialty,Viacom Media Networks
Spike+,US Specialty,Viacom Media Networks
TV Land US,US Specialty,Viacom Media Networks
Video Hits 1,US Specialty,Viacom Media Networks
Joy TV 10 BC (CHNU)+,Specialty,ZoomerMedia
Vision+,Specialty,ZoomerMedia
Dtour+,Specialty,Shaw Media
Movie Central 1+,Pay Specialty,Bell Media
Much+,Specialty,Bell Media
M3+,Specialty,Bell Media
